ID Substack,Titre,Sous-titre,Date publication,Statut publication,Audience,Section,Concepts,Personnages,Niveau canonique,URL,Archive maître,Médias,Relations,Mots,Liens sortants,Envois,Ouvertures,Provenance des métadonnées
univers-mentis-prime-le-socle-axial,◇🏛️-[🔬 UNIVERS MENTIS PRIME - LE SOCLE AXIAL DU PROJET DE RECHERCHE INSTITUTIONNEL ◇ ,"Socle pour des écosystèmes de recherche-lisière, là où la pensée et l'interface sont architecturales, symboliques, cognitives et technologiques, avant leur normalisation. ",2026-01-07,publié,everyone,Univers Mentis Prime,Axe anthropologique · Axe de transmissibilité · Axe méthodologique · Axe épistémique · Individuation · L'Axe (verticalité) · Le Beingjectif · Noétique,,,https://leverbevertical.substack.com/p/univers-mentis-prime-le-socle-axial,,3,16,5884,16,19,17,Export Substack 10/08/2026
la-crise-existentielle-individuelle,"◇ 🔴⚔️🌍 LA CRISE EXISTENTIELLE INDIVIDUELLE AUX CONFLITS INTERNATIONAUX - IDENTITÉ, RÉFLEXES PAVLOVIENS & TRAJECTOIRES HISTORIQUES ◇ ","Adolf Hitler, Ernesto Che Guevara, Salman Rushdie & David Beckham. [Corpus d'archives brutes — Strate fondatrice] ",2026-01-10,publié,everyone,Analyses historiques & archétypales,La Crise Existentielle,,,https://leverbevertical.substack.com/p/la-crise-existentielle-individuelle,,7,4,4335,19,20,12,Export Substack 10/08/2026
lenfance-interieure-face-a-labandon,"◇🟠🔗🌍 L'ENFANCE INTÉRIEURE FACE À L'ABANDON - ORPHELINATS, SENIORS ISOLÉS & CHAÎNES DE TRANSMISSIONS INTERGÉNÉRATIONNELLES À TRAVERS DES TRAJECTOIRES HISTORIQUES ◇","Charlie Chaplin, Simone Weil, Nelson Mandela & Mickael Jackson [Corpus d'archives brutes — Strate fondatrice] ",2026-01-16,publié,everyone,Analyses historiques & archétypales,Axe anthropologique · L'Enfant Intérieur,,,https://leverbevertical.substack.com/p/lenfance-interieure-face-a-labandon,,7,5,4891,18,23,15,Export Substack 10/08/2026
le-heroisme-interieur-face-a-la-precarite,◇🟡🌗🌍 LE HÉROÏSME INTÉRIEUR FACE À LA PRÉCARITÉ - LE CONTINUUM ÉTRANGETÉ-FAMILIARITÉ ◇,"Nikola Tesla, Mère Teresa, Georges Lucas & Khabib Nurmagomedov                                      [Corpus d'archives brutes — Strate fondatrice] ",2026-01-28,publié,everyone,Analyses historiques & archétypales,L'Axe (verticalité) · Le Héros Intérieur,,,https://leverbevertical.substack.com/p/le-heroisme-interieur-face-a-la-precarite,,7,5,5139,18,28,21,Export Substack 10/08/2026
la-sagesse-interieure-face-au-reste,◇🟢🧭🌍 LA SAGESSE INTÉRIEURE FACE AU RESTE DU VIVANT - L'AUTOLOCALISATION ◇,"Ibn Arabi, Thomas d'Aquin, Baruch Spinoza & Claude Lévi-Strauss.                                                    [Corpus d'archives brutes — Strate fondatrice]  ",2026-02-05,publié,everyone,Analyses historiques & archétypales,L'Axe (verticalité) · Le Sage Intérieur,,,https://leverbevertical.substack.com/p/la-sagesse-interieure-face-au-reste,,7,5,4862,18,29,22,Export Substack 10/08/2026
la-justice-interieure-face-aux-engagements,◇ 🔵⚖️🌍 LA JUSTICE INTÉRIEURE FACE AUX ENGAGEMENTS SOCIAUX - L'ATTRACTEUR ÉTHIQUE ◇,"L'Émir Abdelkader, Martin Luther King Jr, Rima Hassan Mobarak & Greta Thunberg.  [Corpus d'archives brutes — Strate fondatrice]  ",2026-02-12,publié,everyone,Analyses historiques & archétypales,Axe anthropologique · L'Axe (verticalité) · Le Juge Intérieur,,,https://leverbevertical.substack.com/p/la-justice-interieure-face-aux-engagements,,7,6,5104,18,32,28,Export Substack 10/08/2026
du-moi-incarne-au-soi-solaire-le,◇ ✨💪 DU MOI INCARNÉ AU SOI SOLAIRE ☀️ ✨ - LE VERBE VERTICAL HABITERA SA LÉGENDE SANS SE TRAHIR DANS CETTE VIE OU DANS L'AUTRE. 🎺 🎶 ◇,Manifeste Intérieur Axial — Architecture philosophique fondatrice à forme mythopoïétique.,2026-02-17,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/du-moi-incarne-au-soi-solaire-le,,2,3,1896,7,35,27,Export Substack 10/08/2026
la-demonie-interieure-face-a-la-r, ◇🟣🧬🌍 LA DÉMONIE INTÉRIEURE FACE À LA R&D - LE PROTO-TRANSHUMANISME ◇,"Ilia Ivanovich Ivanov, John Bosley Ziegler, Claude Vorilhon (Raël) , He Jiankui 🜅 [Corpus d'archives brutes — Strate fondatrice]  ",2026-03-08,publié,everyone,Analyses historiques & archétypales,Le Démon Intérieur,,,https://leverbevertical.substack.com/p/la-demonie-interieure-face-a-la-r,,7,4,4924,18,41,27,Export Substack 10/08/2026
lenfance-transcendee-dans-leducation,"◇ ⚪🏛️🌍 L'ENFANCE TRANSCENDÉE DANS L'EDUCATION, LE SPORT & LE LOISIR - LE VERTICALISME ◇","Zinedine Zidane, David Goggins, Brock Lesnar, Eliud Kipchoge 🜅                                       [Corpus d'archives brutes — Strate fondatrice]  ",2026-03-21,publié,everyone,Analyses historiques & archétypales,L'Enfant Transcendé,,,https://leverbevertical.substack.com/p/lenfance-transcendee-dans-leducation,,7,4,5540,18,42,34,Export Substack 10/08/2026
letrejectif-la-rigueur-epistemique,"◇ 🔨✨ L'ÊTREJECTIF - LA RIGUEUR ÉPISTÈMIQUE, L'ARBORESCENCE LUNAIRE & L'ÉLÉGANCE MÉTACOGNITIVE ◇","✿-Y-❀ La Navigation des Cinq Pôles : Subjectif, Intersubjectif, Adjectif, Objectif & Projectif  [Corpus d'archives brutes — Strate fondatrice]  ",2026-03-27,publié,everyone,Théories & Laboratoire conceptuel,Le Beingjectif,,,https://leverbevertical.substack.com/p/letrejectif-la-rigueur-epistemique,,3,4,2212,10,47,30,Export Substack 10/08/2026
le-combat-interieur-friction-feconde,◇ LE COMBAT INTÉRIEUR - FRICTION FÉCONDE & TOLÉRANCE À L'INCERTITUDE ◇ ,"La Structure Soufie, Stoïciste & Taoïste                                                                                             [Corpus d'archives brutes — Strate fondatrice] ",2026-03-31,publié,everyone,Théories & Laboratoire conceptuel,Individuation,,,https://leverbevertical.substack.com/p/le-combat-interieur-friction-feconde,,5,4,1838,10,48,34,Export Substack 10/08/2026
le-metacadre-comment-neutraliser, ◇ LE MÉTACADRE - COMMENT NEUTRALISER UNE SITUATION CONFLICTUELLE ? ◇ ,Les 6 couches interprétatives - Modèle Arc-en-ciel 🌈 [Corpus d'archives brutes — Strate fondatrice] ,2026-05-12,publié,everyone,Théories & Laboratoire conceptuel,Individuation,,,https://leverbevertical.substack.com/p/le-metacadre-comment-neutraliser,,5,4,3948,10,53,42,Export Substack 10/08/2026
le-silence-habite,🜁 LE SILENCE HABITÉ 🜅,IV.𓃠 Quand le retrait devient plus dense que la présence elle-même,2026-05-17,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/le-silence-habite,,12,3,4066,19,53,40,Export Substack 10/08/2026
la-subsistance-alignee,🜁 LA SUBSISTANCE ALIGNÉE 🜅,I. Vivre dignement sans prostituer son axe.,2026-05-21,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/la-subsistance-alignee,,12,3,5924,19,52,37,Export Substack 10/08/2026
individuation-epicotherapeutique,🜁 INDIVIDUATION ÉPICOTHÉRAPEUTIQUE 🜅,II. Je pense à voix écrite pour que mon monde devienne enfin visible,2026-05-24,publié,everyone,Mythopoïèse thérapeutique & récits,Individuation · L'Axe (verticalité) · Épicothérapie,,,https://leverbevertical.substack.com/p/individuation-epicotherapeutique,,8,6,1573,15,53,22,Export Substack 10/08/2026
luvre, ⬡ L'ŒUVRE ⬡," « Comment relier les registres sans dissoudre le réel : une tentative de cohérence symbolique entre structure, conscience et rigueur analytique ? »",2026-05-25,publié,everyone,Collaborations,Axe anthropologique,,,https://leverbevertical.substack.com/p/luvre,,4,4,1933,7,55,40,Export Substack 10/08/2026
projection,🜁 PROJECTION 🜅,"III. Super IA & les 8 Causes Humanitaires — À une époque, je pensais qu’en réparant les fractures internes de l’humain, nous pourrions réparer une partie du monde",2026-05-26,publié,everyone,Mythopoïèse thérapeutique & récits,Individuation · Épicothérapie,,,https://leverbevertical.substack.com/p/projection,,7,5,2443,25,52,45,Export Substack 10/08/2026
le-liminal,꩜ LE LIMINAL 🜁,"« Nous sommes liminaux, mi-être mi-néant — coincés entre ce que nous étions et ce que nous devenons...» ",2026-05-28,publié,everyone,Collaborations,,,,https://leverbevertical.substack.com/p/le-liminal,,7,3,1677,8,51,26,Export Substack 10/08/2026
larchitecte-de-verite,🜁 L'ARCHITECTE DE VÉRITÉ 🜅,V. L'Archétype du Héros Métacognitif,2026-05-29,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/larchitecte-de-verite,,11,3,2492,24,56,23,Export Substack 10/08/2026
lalterite,⧩ L'ALTÉRITÉ ⟁ ,"« Que découvrons-nous de nous-mêmes lorsque nous cherchons véritablement à comprendre l'autre, qu'il soit humain ou non ? »",2026-05-31,publié,everyone,Collaborations,Le Beingjectif,,,https://leverbevertical.substack.com/p/lalterite,,4,4,2328,8,56,24,Export Substack 10/08/2026
axiome-la-transfiguration,🜁 AXIOME 🜅 — ⁂ LA TRANSFIGURATION ❈ ,"VI. Du vécu en principe, du bruit en structure : certaines vérités deviennent plus durables que les expériences dont elles sont nées. ",2026-06-01,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/axiome-la-transfiguration,,13,3,1915,23,53,31,Export Substack 10/08/2026
le-sphinx,🜁 LE SPHINX 🜅 ,VII. Le Félin Vertical Incompris.,2026-06-02,publié,everyone,Mythopoïèse thérapeutique & récits,Le Beingjectif,,,https://leverbevertical.substack.com/p/le-sphinx,,13,4,1983,23,55,23,Export Substack 10/08/2026
larchitecte-du-lien,🜁 L'ARCHITECTE DU LIEN 🜅 ,VIII. ⫷ LE VERBE HORIZONTAL ⫸,2026-06-03,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/larchitecte-du-lien,,13,3,3833,23,54,20,Export Substack 10/08/2026
lil-drone,🜁 L'ŒIL-DRONE 🜅 ,IX. Le Métacadrage des 40 Figures,2026-06-05,publié,everyone,Mythopoïèse thérapeutique & récits,,,,https://leverbevertical.substack.com/p/lil-drone,,14,3,3034,26,54,28,Export Substack 10/08/2026
la-grille, ▦ LA GRILLE ▦,"« Comment lire le réel sans le réduire : seuil, œuvre, altérité et calibration des regards. »",2026-06-08,publié,everyone,Collaborations,,,,https://leverbevertical.substack.com/p/la-grille,,7,3,2781,12,54,27,Export Substack 10/08/2026
bestiaire-conceptuel,⊙ BESTIAIRE CONCEPTUEL ⊙,Laboratoire de mythopoïèse appliquée – Atelier de Fabrication d'Archétypes : « Les Syllarmes & Le Noéphage »,2026-06-08,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/bestiaire-conceptuel,,8,3,2706,14,54,34,Export Substack 10/08/2026
constante-narrative,⊙ CONSTANTE NARRATIVE ⊙,Laboratoire de mythopoïèse appliquée – Atelier de Fabrication de Texture : « Béber vs Nanar • The God of Legs • Miskinus »,2026-06-10,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/constante-narrative,,8,3,1939,14,55,29,Export Substack 10/08/2026
passion,☿ PASSION ☿,Épicothérapie,2026-06-10,publié,everyone,Individuation & Épicothérapie,Individuation · Épicothérapie,,,https://leverbevertical.substack.com/p/passion,,8,5,2668,24,57,32,Export Substack 10/08/2026
lhumain,🜁 L'HUMAIN 🜅  ,X. Le Seuil Épique : Biomimétique • Externalisation • Individuation,2026-06-10,publié,everyone,Analyses historiques & archétypales,Individuation,,,https://leverbevertical.substack.com/p/lhumain,,14,4,2526,24,57,22,Export Substack 10/08/2026
neurodivergence,☿ NEURODIVERGENCE ☿,L'Architecture Intérieure,2026-06-11,publié,everyone,Individuation & Épicothérapie,,,,https://leverbevertical.substack.com/p/neurodivergence,,8,3,3115,17,58,31,Export Substack 10/08/2026
le-syndrome-de-david-contre-goliath,⊙ LE SYNDROME DE DAVID CONTRE GOLIATH ⊙,Théorie : « Pourquoi Défions-nous l'Impossible ? »,2026-06-12,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/le-syndrome-de-david-contre-goliath,,9,3,2229,14,59,34,Export Substack 10/08/2026
adn,⊙ ADN ⊙,De mon Worldbuilding Vertical,2026-06-13,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/adn,,8,3,2544,18,58,33,Export Substack 10/08/2026
versus, ⊙ VERSUS ⊙,Clash Stylistique & Théorie du Pierre-Feuille-Ciseau,2026-06-14,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/versus,,8,3,2385,13,54,32,Export Substack 10/08/2026
scientia, 𓂀 — 🜁 SCIENTIA🜅 ,XI. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Socrate • René Descartes • Ibn Arabi • Léonard de Vinci • Hypatie,2026-06-15,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/scientia,,15,3,2298,25,56,29,Export Substack 10/08/2026
salus,𓂀 — 🜁 SALUS 🜅 ,XII. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Confucius • Hippocrate • Thich Nhat Hanh • Andrew Huberman • Moshe Feldenkrais,2026-06-16,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/salus,,15,3,2129,25,55,23,Export Substack 10/08/2026
ambitio,𓂀 — 🜁 AMBITIO 🜅 ,XIV. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Marc Aurèle • Napoléon Bonaparte • Jeanne d'Arc • Elon Musk • Arnold Schwarzenegger ,2026-06-17,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/ambitio,,15,3,3073,25,54,26,Export Substack 10/08/2026
benevolentia,𓂀 — 🜁 BENEVOLENTIA 🜅 ,XIII. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Saladin • Victor Frankl • Rabia Al-Dawiyya • Maria Montessori • Jane Goodall,2026-06-17,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/benevolentia,,15,3,2827,25,55,33,Export Substack 10/08/2026
innovatio,𓂀 — 🜁 INNOVATIO 🜅 ,XV. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Joannes Gutenberg • Ignaz Semmelweis • Muhammad Yunus • Marie Curie • Xavier Niel ,2026-06-18,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/innovatio,,15,3,3206,25,54,32,Export Substack 10/08/2026
resilientia,𓂀 — 🜁 RESILIENTIA 🜅 ,XVI. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Nelson Mandela • Helen Keller • Rumi • Stephen Hawking • Malala Yousafzai,2026-06-18,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/resilientia,,15,3,3409,25,52,34,Export Substack 10/08/2026
quilibrium,𓂀 — 🜁 ÆQUILIBRIUM 🜅 ,XVII. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Aristote • Carl Jung • Lao Tseu • Antoine Lavoisier • Miyamoto Musashi,2026-06-19,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/quilibrium,,15,3,3722,25,53,27,Export Substack 10/08/2026
les-epistemies-de-soi,⟰ LES ÉPISTÉMIES DE SOI ⟰,Manifeste Théorique : « Et si l'École devait Enseigner la Connaissance de Soi avant d'Enseigner les Matières ? »,2026-06-21,publié,everyone,Manifestes philosophiques & institutionnels,,,,https://leverbevertical.substack.com/p/les-epistemies-de-soi,,8,3,5758,13,51,23,Export Substack 10/08/2026
sapientia,𓂀 — 🜁 SAPIENTIA 🜅 ,XVIII. Les Huit Valeurs Épiques incarnés par des Figures Historiques : Prophète Mohammed ﷺ • Nassim Nicholas Taleb • Edgar Morin • Albert Einstein • Joseph Campbell,2026-06-24,publié,everyone,Analyses historiques & archétypales,,,,https://leverbevertical.substack.com/p/sapientia,,15,3,3685,25,51,25,Export Substack 10/08/2026
parasocial,☿ PARASOCIAL ☿,« Écrire depuis mon Intériorité fait-il de moi le Gardien des Blessures que mes Textes réveillent chez le Lecteur ? »,2026-06-26,publié,everyone,Individuation & Épicothérapie,Individuation,,,https://leverbevertical.substack.com/p/parasocial,,6,4,2416,13,52,35,Export Substack 10/08/2026
1982-depuis-la-honte-de-gijon,⊙ 1982 — DEPUIS LA HONTE DE GIJÓN ⊙,2026 — LE DROIT DE RÉPONSE,2026-06-27,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/1982-depuis-la-honte-de-gijon,,7,3,3254,12,52,25,Export Substack 10/08/2026
danse-generation,⊙ DANSE GÉNÉRATION ⊙,"Anthropologie du Rythme, des Rites, des Mouvements & des Cultures ",2026-06-30,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/danse-generation,,8,3,4942,13,55,28,Export Substack 10/08/2026
passeurs-de-lumiere-soufisme-taoisme,⊙ PASSEURS DE LUMIÈRE — Soufisme • Taoïsme • Stoïcisme ⊙,Toshihiko Izutsu • Jiyuan Yu • Pierre Hadot • Henri Corbin • Annemarie Schimmel • William C. Chittick • Sachiko Murata • Louis Massignon,2026-07-01,publié,everyone,Théories & Laboratoire conceptuel,L'Axe (verticalité),,,https://leverbevertical.substack.com/p/passeurs-de-lumiere-soufisme-taoisme,,11,4,4176,16,53,28,Export Substack 10/08/2026
techno-sapiens-i,⊙ TECHNO SAPIENS I ⊙,La Matrice Verticale,2026-07-02,publié,everyone,Théories & Laboratoire conceptuel,Code QTLX,,,https://leverbevertical.substack.com/p/techno-sapiens-i,,9,4,3092,18,56,23,Export Substack 10/08/2026
techno-sapiens-ii,⊙ TECHNO SAPIENS II ⊙,Homo Axialis / Homo Socialis,2026-07-06,publié,everyone,Théories & Laboratoire conceptuel,Axe anthropologique,,,https://leverbevertical.substack.com/p/techno-sapiens-ii,,12,4,3364,19,57,27,Export Substack 10/08/2026
